Number,Name,Metres,Feet,Viewable,VisPeak
1,Ben Chonzie,931.000000000000000,3054,2111.33,53
17,Ben Vorlich,985.000000000000000,3232,2666.00,90
18,Stuc a'Chroin,975.000000000000000,3199,2772.99,84
26,Ben More,1174.000000000000000,3852,5395.04,178
27,Stob Binnein,1165.000000000000000,3822,5454.05,174
30,Cruach Ardrain,1046.000000000000000,3432,1327.33,68
31,An Caisteal,995.000000000000000,3264,1717.21,79
32,Ben Lomond,974.000000000000000,3196,2750.61,60
35,Beinn Tulaichean,946.000000000000000,3104,1241.92,43
38,Beinn Chabhair,933.000000000000000,3061,1289.78,47
65,Ben Lui [Beinn Laoigh],1130.000000000000000,3707,3782.59,143
67,Ben Oss,1029.000000000000000,3376,1445.66,92
68,Beinn Ime,1011.000000000000000,3317,1774.61,28
70,Beinn Bhuidhe,948.000000000000000,3110,1380.77,75
71,Ben Vorlich,943.000000000000000,3094,1094.11,58
74,Beinn Narnain,927.000000000000000,3041,2007.02,29
76,Ben Vane,915.759999999999990,3004,1686.11,56
103,Schiehallion,1083.000000000000000,3553,1237.27,119
104,Beinn a'Chreachain,1081.000000000000000,3547,1044.86,123
105,Beinn Dorain,1076.000000000000000,3530,1045.80,108
141,Ben Lawers,1214.000000000000000,3983,5284.86,205
142,An Stuc,1118.000000000000000,3668,3238.06,162
143,Meall Garbh,1118.000000000000000,3668,3439.07,166
144,Beinn Ghlas,1103.000000000000000,3619,3245.89,101
145,Beinn Heasgarnich [Beinn Sheasgarnaich],1078.000000000000000,3537,1004.40,118
146,Meall Corranaich,1069.000000000000000,3507,1037.77,106
191,Bidean nam Bian,1150.000000000000000,3773,2093.69,185
195,Beinn a'Bheithir - Sgorr Dhearg,1024.000000000000000,3360,1009.01,113
232,Ben Cruachan,1126.000000000000000,3694,3851.54,187
233,Meall a'Bhuiridh,1108.000000000000000,3635,2067.61,168
238,Ben Starav,1078.000000000000000,3537,1028.50,128
244,Stob Diamh,998.000000000000000,3274,1354.90,97
249,Beinn Eunaich,989.000000000000000,3245,1141.35,93
251,Beinn a'Chochuill,980.000000000000000,3215,1021.65,89
255,Stob a'Choire Odhair,945.000000000000000,3100,1287.03,97
278,Ben Nevis,1344.000000000000000,4409,3454.84,205
281,Aonach Mor,1221.000000000000000,4006,2128.06,186
282,Carn Mor Dearg,1220.000000000000000,4003,1247.66,146
285,Stob Choire Claurigh,1177.000000000000000,3862,2114.97,193
289,Stob Coire an Laoigh,1116.000000000000000,3661,1572.66,182
345,Ben Alder,1148.000000000000000,3766,2082.27,190
346,Geal-charn,1132.000000000000000,3714,1903.89,213
347,Aonach Beag,1115.700000000000000,3660,1466.08,189
421,Beinn a'Ghlo - Carn nan Gabhar,1121.000000000000000,3678,3436.57,176
422,Beinn a'Ghlo - Braigh Coire Chruinn-bhalgain,1070.000000000000000,3510,1692.16,114
426,Carn an Righ,1029.000000000000000,3376,1126.49,91
457,Lochnagar - Cac Carn Beag,1155.000000000000000,3789,4178.17,147
459,Carn a'Choire Bhoidheach,1110.000000000000000,3642,3021.53,151
461,Glas Maol,1068.000000000000000,3504,1654.25,83
472,Creag Leacach,987.000000000000000,3238,1466.22,63
483,Driesh,947.000000000000000,3107,1682.44,29
486,Mayar,928.000000000000000,3045,1541.99,42
518,Ben Macdui [Beinn Macduibh],1309.000000000000000,4295,4570.33,216
519,Braeriach,1296.000000000000000,4252,3686.65,113
521,Cairn Toul,1291.000000000000000,4236,2574.53,189
523,Sgor an Lochain Uaine,1258.000000000000000,4127,1793.45,133
525,Cairn Gorm,1244.000000000000000,4081,4038.33,180
529,Beinn a'Bhuird North Top,1197.000000000000000,3927,3264.15,149
531,Beinn Mheadhoin,1182.000000000000000,3878,1344.42,40
536,Ben Avon - Leabaidh an Daimh Bhuidhe,1171.000000000000000,3842,3365.96,103
538,Beinn Bhrotain,1157.000000000000000,3796,1633.68,112
539,Derry Cairngorm,1155.000000000000000,3789,1496.44,88
549,Monadh Mor,1113.000000000000000,3652,1710.43,188
557,Bynack More,1090.000000000000000,3576,1506.40,68
658,Creag Meagaidh,1128.000000000000000,3701,1986.23,198
737,Meall Buidhe,946.000000000000000,3104,1011.90,78
803,Carn Eige [Carn Eighe],1183.000000000000000,3881,2895.56,178
804,Mam Sodhail,1181.000000000000000,3875,3011.50,183
805,Sgurr nan Ceathreamhnan,1151.000000000000000,3776,1704.29,164
810,Tom a'Choinich,1112.000000000000000,3648,1682.74,79
818,Toll Creagach,1054.000000000000000,3458,1278.57,93
862,A'Chralaig,1120.000000000000000,3675,2466.10,171
863,Sgurr nan Conbhairean,1109.000000000000000,3638,2040.27,120
884,Sgurr a'Choire Ghlais,1083.000000000000000,3553,2122.31,111
886,Sgurr Fhuar-thuill,1049.000000000000000,3442,1640.20,95
894,Sgurr na Ruaidhe,993.000000000000000,3258,1705.41,82
895,Carn nan Gobhar,992.000000000000000,3255,2461.46,142
926,Sgurr na Lapaich,1150.000000000000000,3773,2551.19,155
927,An Riabhachan,1129.000000000000000,3704,1005.62,106
936,Carn nan Gobhar,993.000000000000000,3258,1464.98,87
955,Beinn Eighe - Ruadh-stac Mor,1010.000000000000000,3314,1029.43,68
957,Beinn Alligin - Sgurr Mhor,986.000000000000000,3235,1225.83,70
968,Beinn Alligin - Tom na Gruagaich,922.000000000000000,3025,1035.89,60
1003,An Teallach - Bidein a'Ghlas Thuill,1062.000000000000000,3484,1629.76,67
1007,Mullach Coire Mhic Fhearchair,1018.000000000000000,3340,1072.93,56
1009,Sgurr Ban,989.000000000000000,3245,1161.73,71
1014,A'Mhaighdean,967.000000000000000,3173,1137.96,53
1040,Sgurr Mor,1108.000000000000000,3635,1047.37,27
1041,Sgurr nan Clach Geala,1093.000000000000000,3586,1006.71,60
1042,Sgurr Breac,999.000000000000000,3278,1036.59,60
1043,A'Chailleach,997.000000000000000,3271,1097.64,61
1050,Fionn Bheinn,933.000000000000000,3061,1003.33,48
1052,An Coileachan,923.000000000000000,3028,1178.45,52
1062,Beinn Dearg,1084.000000000000000,3556,1400.92,62
1064,Meall nan Ceapraichean,977.000000000000000,3205,1174.02,33
1066,Am Faochagach,953.000000000000000,3127,1092.05,58
1069,Seana Bhraigh,926.000000000000000,3038,1392.35,37
1088,Ben Wyvis - Glas Leathad Mor,1046.000000000000000,3432,3059.04,91
1123,Ben Hope,927.000000000000000,3041,1503.84,15
1165,Ben Klibreck - Meall nan Con,962.000000000000000,3156,3244.30,39
1183,Ben More Assynt,998.000000000000000,3274,1835.44,22
1184,Conival,987.000000000000000,3238,2103.19,41
1240,Sgurr Dearg - Inaccessible Pinnacle,986.000000000000000,3235,1131.99,77
1243,Sgurr a'Ghreadaidh,972.000000000000000,3189,1480.01,76
1245,Sgurr na Banachdich,965.000000000000000,3166,1311.12,67
1247,Bruach na Frithe,958.000000000000000,3143,1777.84,76
1250,Sgurr Dubh Mor,944.000000000000000,3097,1258.94,71
1255,Bla Bheinn [Blaven] [Blabheinn],928.000000000000000,3045,1598.89,79
1258,Sgurr nan Eag,924.000000000000000,3031,1033.51,66
1259,Sgurr a'Mhadaidh,918.000000000000000,3012,1366.86,67
1301,Ben More,966.000000000000000,3169,1694.32,81
2925,Beinn a'Chroin,942.000000000000000,3091,1035.09,18
