Number,Name,Metres,Feet,Viewable,VisPeak
26,Ben More,1174.000000000000000,3852,5395.04,178
27,Stob Binnein,1165.000000000000000,3822,5454.05,174
65,Ben Lui [Beinn Laoigh],1130.000000000000000,3707,3782.59,143
103,Schiehallion,1083.000000000000000,3553,1237.27,119
104,Beinn a'Chreachain,1081.000000000000000,3547,1044.86,123
105,Beinn Dorain,1076.000000000000000,3530,1045.80,108
123,Meall Buidhe,932.000000000000000,3058,531.78,134
141,Ben Lawers,1214.000000000000000,3983,5284.86,205
142,An Stuc,1118.000000000000000,3668,3238.06,162
143,Meall Garbh,1118.000000000000000,3668,3439.07,166
144,Beinn Ghlas,1103.000000000000000,3619,3245.89,101
145,Beinn Heasgarnich [Beinn Sheasgarnaich],1078.000000000000000,3537,1004.40,118
146,Meall Corranaich,1069.000000000000000,3507,1037.77,106
150,Meall Ghaordaidh,1039.000000000000000,3409,961.75,109
178,Aonach Eagach - Sgorr nam Fiannaidh,967.000000000000000,3173,631.37,107
191,Bidean nam Bian,1150.000000000000000,3773,2093.69,185
194,Stob Coire Sgreamhach,1072.000000000000000,3517,845.48,123
195,Beinn a'Bheithir - Sgorr Dhearg,1024.000000000000000,3360,1009.01,113
196,Buachaille Etive Mor - Stob Dearg,1022.000000000000000,3353,777.53,100
198,Beinn a'Bheithir - Sgorr Dhonuill,1001.000000000000000,3284,862.62,109
232,Ben Cruachan,1126.000000000000000,3694,3851.54,187
233,Meall a'Bhuiridh,1108.000000000000000,3635,2067.61,168
235,Creise,1100.000000000000000,3609,808.60,108
238,Ben Starav,1078.000000000000000,3537,1028.50,128
278,Ben Nevis,1344.000000000000000,4409,3454.84,205
281,Aonach Mor,1221.000000000000000,4006,2128.06,186
282,Carn Mor Dearg,1220.000000000000000,4003,1247.66,146
285,Stob Choire Claurigh,1177.000000000000000,3862,2114.97,193
289,Stob Coire an Laoigh,1116.000000000000000,3661,1572.66,182
295,Sgurr a'Mhaim,1099.000000000000000,3606,775.08,113
296,Sgurr Choinnich Mor,1094.000000000000000,3589,786.54,119
303,Am Bodach,1032.000000000000000,3386,951.61,107
309,Stob Ban,999.000000000000000,3278,603.66,103
345,Ben Alder,1148.000000000000000,3766,2082.27,190
346,Geal-charn,1132.000000000000000,3714,1903.89,213
347,Aonach Beag,1115.700000000000000,3660,1466.08,189
348,Beinn Eibhinn,1103.200000000000000,3619,608.60,128
349,Beinn a'Chlachair,1087.000000000000000,3566,405.57,104
350,Geal Charn,1049.000000000000000,3442,318.32,108
351,Chno Dearg,1046.000000000000000,3432,881.44,130
356,Stob Coire Sgriodain,979.000000000000000,3212,653.38,121
361,Sgor Gaibhre,955.000000000000000,3133,600.31,111
406,Beinn Dearg,1008.000000000000000,3307,737.51,100
421,Beinn a'Ghlo - Carn nan Gabhar,1121.000000000000000,3678,3436.57,176
422,Beinn a'Ghlo - Braigh Coire Chruinn-bhalgain,1070.000000000000000,3510,1692.16,114
457,Lochnagar - Cac Carn Beag,1155.000000000000000,3789,4178.17,147
459,Carn a'Choire Bhoidheach,1110.000000000000000,3642,3021.53,151
518,Ben Macdui [Beinn Macduibh],1309.000000000000000,4295,4570.33,216
519,Braeriach,1296.000000000000000,4252,3686.65,113
521,Cairn Toul,1291.000000000000000,4236,2574.53,189
523,Sgor an Lochain Uaine,1258.000000000000000,4127,1793.45,133
525,Cairn Gorm,1244.000000000000000,4081,4038.33,180
529,Beinn a'Bhuird North Top,1197.000000000000000,3927,3264.15,149
536,Ben Avon - Leabaidh an Daimh Bhuidhe,1171.000000000000000,3842,3365.96,103
538,Beinn Bhrotain,1157.000000000000000,3796,1633.68,112
549,Monadh Mor,1113.000000000000000,3652,1710.43,188
571,Mullach Clach a'Bhlair,1019.000000000000000,3343,678.20,120
626,Carn Sgulain,920.000000000000000,3018,751.70,104
658,Creag Meagaidh,1128.000000000000000,3701,1986.23,198
683,Gleouraich,1035.000000000000000,3396,782.44,110
684,Sgurr a'Mhaoraich,1027.000000000000000,3369,745.69,107
690,Sgurr an Lochain,1004.000000000000000,3294,628.60,105
803,Carn Eige [Carn Eighe],1183.000000000000000,3881,2895.56,178
804,Mam Sodhail,1181.000000000000000,3875,3011.50,183
805,Sgurr nan Ceathreamhnan,1151.000000000000000,3776,1704.29,164
815,Sgurr Fhuaran,1067.000000000000000,3501,578.10,108
825,Sgurr na Ciste Duibhe,1027.000000000000000,3369,697.45,108
828,Aonach Meadhoin,1001.000000000000000,3284,409.02,102
862,A'Chralaig,1120.000000000000000,3675,2466.10,171
863,Sgurr nan Conbhairean,1109.000000000000000,3638,2040.27,120
864,Mullach Fraoch-choire,1102.000000000000000,3615,912.72,115
884,Sgurr a'Choire Ghlais,1083.000000000000000,3553,2122.31,111
895,Carn nan Gobhar,992.000000000000000,3255,2461.46,142
926,Sgurr na Lapaich,1150.000000000000000,3773,2551.19,155
927,An Riabhachan,1129.000000000000000,3704,1005.62,106
